uid,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,label
2241588582825,0.0,2.0,0.2857142857142857,1.0,0.0,5.0,11.0,0.026785714285714284,13.0,1.0,3.0,11.0,13.0,0.0,0,17.0,3962.0,9.0,0,68.2953709518256,16.0,4.0,1.0,1.0,2430.0,1791.0,112.0,4.0,4.0,0.0,0.0,26.0,2.0,18.0,19.0,2884.0,20.0,11.0,0.0,14.0,,0.0,0.0,15.0,9.0,21.0,30.0,5.0,1.0,,0
2241588841790,5.0,36.0,0.08108108108108109,9.0,1.0,41.0,28.0,0.009216589861751152,108.0,9.0,13.0,99.0,33.0,0.0,0,44.0,2604.0,22.0,0,0.0,38.0,20.0,0.0,2.0,3509.0,3090.0,107.0,6.0,32.0,4.0,1.0,157.0,6.0,42.0,21.0,8220.0,46.0,31.0,0.0,43.0,,0.0,1.0,30.0,26.0,30.0,184.0,18.0,2.0,,0
2241591276905,2.0,54.0,0.1836734693877551,9.0,3.0,40.0,29.0,0.005154639175257732,153.0,22.0,26.0,143.0,26.0,0.0,0,43.0,7891.0,21.0,0,171.72188282423636,50.0,3.0,0.0,5.0,20616.0,10107.0,57.0,24.0,32.0,3.0,5.0,238.0,7.0,53.0,22.0,13401.0,47.0,63.0,0.0,37.0,,,29.0,29.0,29.0,30.0,368.0,21.0,9.0,,0
2241591491497,0.0,23.0,0.08064516129032258,1.0,0.0,31.0,29.0,0.03571428571428571,118.0,21.0,18.0,106.0,23.0,0.0,0,37.0,13873.0,21.0,0,34.110254711868485,36.0,11.0,0.0,4.0,19211.0,13671.0,0.0,10.0,24.0,0.0,0.0,127.0,10.0,46.0,22.0,18805.0,49.0,24.0,0.0,34.0,,,0.0,28.0,26.0,30.0,221.0,19.0,12.0,,0
2241593195346,1.0,48.0,0.10891089108910892,3.0,4.0,21.0,23.0,0.0,66.0,18.0,16.0,64.0,18.0,253.0,0,11.0,11582.0,17.0,0,49.18022225801256,12.0,15.0,0.0,5.0,3421.0,5372.0,1.0,7.0,10.0,2.0,0.0,98.0,10.0,12.0,16.0,23898.0,13.0,30.0,0.0,22.0,,0.0,0.0,23.0,30.0,25.0,115.0,14.0,2.0,,1
2241593681957,0.0,46.0,0.06976744186046513,1.0,1.0,29.0,30.0,0.009523809523809523,94.0,20.0,19.0,85.0,37.0,246.0,0,40.0,6009.0,22.0,0,0.0,43.0,6.0,0.0,4.0,8994.0,7489.0,82.0,16.0,25.0,0.0,0.0,139.0,15.0,46.0,21.0,13902.0,43.0,22.0,0.0,68.0,,0.0,0.0,30.0,23.0,30.0,162.0,19.0,7.0,,0
2241594635775,2.0,35.0,0.6727272727272727,4.0,1.0,19.0,27.0,0.02,111.0,20.0,27.0,94.0,12.0,0.0,0,19.0,14232.0,21.0,0,431.2250148814186,18.0,2.0,0.0,4.0,45784.0,16552.0,2.0,6.0,15.0,0.0,4.0,108.0,9.0,22.0,19.0,13044.0,27.0,18.0,0.0,28.0,,,3.0,29.0,27.0,30.0,215.0,18.0,6.0,,0
2241595485598,3.0,88.0,0.0,4.0,1.0,40.0,28.0,0.019943019943019943,217.0,22.0,22.0,183.0,78.0,0.0,0,58.0,12679.0,22.0,0,0.0,59.0,15.0,1.0,8.0,18157.0,26567.0,69.0,11.0,33.0,0.0,3.0,277.0,16.0,66.0,22.0,41557.0,64.0,62.0,0.0,56.0,,0.0,4.0,30.0,29.0,30.0,575.0,21.0,13.0,,0
2241595510691,0.0,6.0,0.3225806451612903,0.0,0.0,10.0,26.0,0.0,37.0,14.0,18.0,28.0,35.0,0.0,0,42.0,2251.0,19.0,0,87.21888638294134,38.0,34.0,0.0,3.0,3587.0,5231.0,78.0,7.0,14.0,0.0,5.0,102.0,2.0,59.0,22.0,6204.0,70.0,19.0,0.0,37.0,,0.0,1.0,26.0,15.0,30.0,143.0,18.0,1.0,,0
2241595778500,2.0,113.0,0.0,2.0,1.0,56.0,30.0,0.008333333333333333,455.0,22.0,30.0,362.0,38.0,0.0,0,47.0,790.0,21.0,0,31.73446927108901,68.0,17.0,0.0,10.0,7391.0,27815.0,5.0,41.0,43.0,1.0,1.0,141.0,11.0,72.0,22.0,10089.0,47.0,30.0,0.0,54.0,,0.0,0.0,29.0,30.0,30.0,570.0,21.0,6.0,,0
2241597075089,12.0,26.0,0.06976744186046513,15.0,2.0,55.0,23.0,0.02232142857142857,434.0,22.0,29.0,441.0,35.0,292.0,0,53.0,9498.0,22.0,0,70.52783022215914,63.0,4.0,16.0,19.0,36886.0,107572.0,5.0,34.0,42.0,4.0,2.0,151.0,12.0,69.0,22.0,20308.0,62.0,32.0,213.0,41.0,,0.0,4.0,30.0,21.0,30.0,789.0,22.0,11.0,,0
2241597218983,0.0,19.0,0.2222222222222222,2.0,0.0,11.0,28.0,0.3384615384615385,34.0,17.0,16.0,26.0,52.0,0.0,0,24.0,3217.0,18.0,0,39.270738377392895,26.0,19.0,0.0,2.0,3613.0,600.0,10.0,2.0,10.0,1.0,8.0,148.0,5.0,33.0,21.0,9017.0,23.0,26.0,0.0,45.0,,0.0,1.0,24.0,23.0,30.0,60.0,12.0,0.0,,0
2241599252045,3.0,16.0,0.10526315789473684,2.0,2.0,14.0,24.0,0.013157894736842105,30.0,4.0,15.0,31.0,17.0,0.0,0,13.0,14634.0,13.0,0,9.740392703501646,20.0,5.0,0.0,3.0,4244.0,5778.0,83.0,10.0,13.0,1.0,0.0,42.0,15.0,21.0,12.0,14906.0,11.0,7.0,0.0,26.0,,,0.0,17.0,27.0,25.0,64.0,13.0,6.0,,0
2241602262002,2.0,70.0,0.2419354838709677,3.0,3.0,32.0,29.0,0.014705882352941175,142.0,20.0,26.0,125.0,30.0,0.0,0,38.0,635.0,21.0,0,237.74973746645404,48.0,15.0,1.0,5.0,6532.0,6597.0,105.0,6.0,22.0,1.0,2.0,125.0,7.0,56.0,20.0,7912.0,41.0,37.0,0.0,42.0,0.0,0.0,1.0,29.0,28.0,30.0,225.0,21.0,0.0,,0
2241604884993,2.0,31.0,0.26666666666666666,2.0,1.0,20.0,12.0,0.007194244604316547,80.0,16.0,23.0,72.0,13.0,0.0,0,24.0,4692.0,13.0,0,67.93555498401734,24.0,17.0,0.0,3.0,1266.0,9923.0,318.0,8.0,20.0,1.0,3.0,52.0,6.0,28.0,21.0,3994.0,24.0,10.0,0.0,17.0,,0.0,5.0,18.0,27.0,19.0,127.0,10.0,1.0,,0
2241605417475,0.0,36.0,0.08333333333333333,0.0,0.0,12.0,21.0,0.03571428571428571,36.0,20.0,18.0,34.0,20.0,0.0,0,22.0,6787.0,20.0,0,82.4827862699604,24.0,9.0,0.0,5.0,2239.0,11394.0,7.0,10.0,12.0,0.0,0.0,88.0,6.0,26.0,22.0,13654.0,18.0,9.0,0.0,19.0,,0.0,0.0,26.0,20.0,28.0,115.0,9.0,1.0,,0
2241606256056,2.0,35.0,0.20987654320987653,5.0,1.0,58.0,21.0,0.0,160.0,20.0,28.0,137.0,35.0,0.0,0,46.0,1611.0,19.0,0,0.0,56.0,17.0,1.0,3.0,7797.0,3744.0,17.0,10.0,25.0,0.0,0.0,130.0,4.0,66.0,20.0,7968.0,50.0,10.0,0.0,36.0,,,0.0,26.0,27.0,26.0,208.0,21.0,8.0,,0
2241606267322,1.0,3.0,0.5263157894736842,0.0,1.0,9.0,18.0,0.0,62.0,18.0,20.0,58.0,14.0,0.0,0,21.0,1466.0,18.0,0,30.461753894626288,14.0,4.0,0.0,1.0,1686.0,1961.0,20.0,2.0,14.0,0.0,0.0,77.0,5.0,20.0,18.0,5323.0,27.0,14.0,0.0,15.0,,,0.0,22.0,8.0,24.0,117.0,13.0,0.0,,0
2241609671639,1.0,4.0,0.15,4.0,0.0,12.0,19.0,0.0,33.0,9.0,4.0,23.0,17.0,0.0,0,13.0,1439.0,15.0,0,78.62407862407862,9.0,7.0,0.0,1.0,787.0,266.0,63.0,2.0,15.0,0.0,0.0,59.0,2.0,16.0,18.0,1561.0,27.0,15.0,0.0,21.0,,,0.0,20.0,10.0,25.0,52.0,5.0,1.0,,0
2241610811738,2.0,17.0,0.1176470588235294,1.0,1.0,15.0,28.0,0.031055900621118005,54.0,16.0,16.0,47.0,15.0,0.0,0,21.0,841.0,20.0,0,93.79949279663305,21.0,3.0,0.0,2.0,4149.0,1791.0,158.0,3.0,14.0,0.0,0.0,74.0,4.0,29.0,17.0,2436.0,30.0,17.0,0.0,27.0,,0.0,0.0,27.0,25.0,30.0,90.0,15.0,3.0,,0
